"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"08/01/2024 06:00:00 - 08/01/2024 07:00:00","BZN|BE","Without sequence","94.3","",""
"08/01/2024 07:00:00 - 08/01/2024 08:00:00","BZN|BE","Without sequence","111.08","",""
"08/01/2024 08:00:00 - 08/01/2024 09:00:00","BZN|BE","Without sequence","121.11","",""
"08/01/2024 09:00:00 - 08/01/2024 10:00:00","BZN|BE","Without sequence","117.83","",""
"08/01/2024 10:00:00 - 08/01/2024 11:00:00","BZN|BE","Without sequence","110.59","",""
"08/01/2024 11:00:00 - 08/01/2024 12:00:00","BZN|BE","Without sequence","103.0","",""
"08/01/2024 12:00:00 - 08/01/2024 13:00:00","BZN|BE","Without sequence","95.46","",""
"08/01/2024 13:00:00 - 08/01/2024 14:00:00","BZN|BE","Without sequence","94.58","",""
"08/01/2024 14:00:00 - 08/01/2024 15:00:00","BZN|BE","Without sequence","100.0","",""
"08/01/2024 15:00:00 - 08/01/2024 16:00:00","BZN|BE","Without sequence","107.98","",""
"08/01/2024 16:00:00 - 08/01/2024 17:00:00","BZN|BE","Without sequence","116.81","",""
"08/01/2024 17:00:00 - 08/01/2024 18:00:00","BZN|BE","Without sequence","129.19","",""
"08/01/2024 18:00:00 - 08/01/2024 19:00:00","BZN|BE","Without sequence","129.99","",""
"08/01/2024 19:00:00 - 08/01/2024 20:00:00","BZN|BE","Without sequence","121.85","",""
"08/01/2024 20:00:00 - 08/01/2024 21:00:00","BZN|BE","Without sequence","114.16","",""
"08/01/2024 21:00:00 - 08/01/2024 22:00:00","BZN|BE","Without sequence","102.48","",""
"08/01/2024 22:00:00 - 08/01/2024 23:00:00","BZN|BE","Without sequence","99.75","",""
"08/01/2024 23:00:00 - 09/01/2024 00:00:00","BZN|BE","Without sequence","91.49","",""
"09/01/2024 00:00:00 - 09/01/2024 01:00:00","BZN|BE","Without sequence","84.51","",""
"09/01/2024 01:00:00 - 09/01/2024 02:00:00","BZN|BE","Without sequence","83.29","",""
"09/01/2024 02:00:00 - 09/01/2024 03:00:00","BZN|BE","Without sequence","85.0","",""
"09/01/2024 03:00:00 - 09/01/2024 04:00:00","BZN|BE","Without sequence","83.89","",""
"09/01/2024 04:00:00 - 09/01/2024 05:00:00","BZN|BE","Without sequence","82.45","",""
"09/01/2024 05:00:00 - 09/01/2024 06:00:00","BZN|BE","Without sequence","88.29","",""
"09/01/2024 06:00:00 - 09/01/2024 07:00:00","BZN|BE","Without sequence","99.83","",""
"09/01/2024 07:00:00 - 09/01/2024 08:00:00","BZN|BE","Without sequence","112.16","",""
"09/01/2024 08:00:00 - 09/01/2024 09:00:00","BZN|BE","Without sequence","130.5","",""
"09/01/2024 09:00:00 - 09/01/2024 10:00:00","BZN|BE","Without sequence","120.69","",""
"09/01/2024 10:00:00 - 09/01/2024 11:00:00","BZN|BE","Without sequence","109.08","",""
"09/01/2024 11:00:00 - 09/01/2024 12:00:00","BZN|BE","Without sequence","102.1","",""
"09/01/2024 12:00:00 - 09/01/2024 13:00:00","BZN|BE","Without sequence","92.22","",""
"09/01/2024 13:00:00 - 09/01/2024 14:00:00","BZN|BE","Without sequence","92.11","",""
"09/01/2024 14:00:00 - 09/01/2024 15:00:00","BZN|BE","Without sequence","101.19","",""
"09/01/2024 15:00:00 - 09/01/2024 16:00:00","BZN|BE","Without sequence","112.35","",""
"09/01/2024 16:00:00 - 09/01/2024 17:00:00","BZN|BE","Without sequence","122.38","",""
"09/01/2024 17:00:00 - 09/01/2024 18:00:00","BZN|BE","Without sequence","137.1","",""
"09/01/2024 18:00:00 - 09/01/2024 19:00:00","BZN|BE","Without sequence","136.7","",""
"09/01/2024 19:00:00 - 09/01/2024 20:00:00","BZN|BE","Without sequence","129.74","",""
"09/01/2024 20:00:00 - 09/01/2024 21:00:00","BZN|BE","Without sequence","116.34","",""
"09/01/2024 21:00:00 - 09/01/2024 22:00:00","BZN|BE","Without sequence","105.57","",""
"09/01/2024 22:00:00 - 09/01/2024 23:00:00","BZN|BE","Without sequence","98.4","",""
"09/01/2024 23:00:00 - 10/01/2024 00:00:00","BZN|BE","Without sequence","93.69","",""
"10/01/2024 00:00:00 - 10/01/2024 01:00:00","BZN|BE","Without sequence","83.0","",""
"10/01/2024 01:00:00 - 10/01/2024 02:00:00","BZN|BE","Without sequence","86.76","",""
"10/01/2024 02:00:00 - 10/01/2024 03:00:00","BZN|BE","Without sequence","86.73","",""
"10/01/2024 03:00:00 - 10/01/2024 04:00:00","BZN|BE","Without sequence","84.06","",""
"10/01/2024 04:00:00 - 10/01/2024 05:00:00","BZN|BE","Without sequence","84.18","",""
"10/01/2024 05:00:00 - 10/01/2024 06:00:00","BZN|BE","Without sequence","84.64","",""
"10/01/2024 06:00:00 - 10/01/2024 07:00:00","BZN|BE","Without sequence","99.03","",""
"10/01/2024 07:00:00 - 10/01/2024 08:00:00","BZN|BE","Without sequence","115.35","",""
"10/01/2024 08:00:00 - 10/01/2024 09:00:00","BZN|BE","Without sequence","138.09","",""
"10/01/2024 09:00:00 - 10/01/2024 10:00:00","BZN|BE","Without sequence","130.39","",""
"10/01/2024 10:00:00 - 10/01/2024 11:00:00","BZN|BE","Without sequence","116.31","",""
"10/01/2024 11:00:00 - 10/01/2024 12:00:00","BZN|BE","Without sequence","109.13","",""
"10/01/2024 12:00:00 - 10/01/2024 13:00:00","BZN|BE","Without sequence","99.0","",""
"10/01/2024 13:00:00 - 10/01/2024 14:00:00","BZN|BE","Without sequence","98.8","",""
"10/01/2024 14:00:00 - 10/01/2024 15:00:00","BZN|BE","Without sequence","102.38","",""
"10/01/2024 15:00:00 - 10/01/2024 16:00:00","BZN|BE","Without sequence","117.49","",""
"10/01/2024 16:00:00 - 10/01/2024 17:00:00","BZN|BE","Without sequence","132.23","",""
"10/01/2024 17:00:00 - 10/01/2024 18:00:00","BZN|BE","Without sequence","143.79","",""
"10/01/2024 18:00:00 - 10/01/2024 19:00:00","BZN|BE","Without sequence","140.0","",""
"10/01/2024 19:00:00 - 10/01/2024 20:00:00","BZN|BE","Without sequence","132.15","",""
"10/01/2024 20:00:00 - 10/01/2024 21:00:00","BZN|BE","Without sequence","120.0","",""
"10/01/2024 21:00:00 - 10/01/2024 22:00:00","BZN|BE","Without sequence","106.73","",""
"10/01/2024 22:00:00 - 10/01/2024 23:00:00","BZN|BE","Without sequence","99.6","",""
"10/01/2024 23:00:00 - 11/01/2024 00:00:00","BZN|BE","Without sequence","90.93","",""
"11/01/2024 00:00:00 - 11/01/2024 01:00:00","BZN|BE","Without sequence","91.75","",""
"11/01/2024 01:00:00 - 11/01/2024 02:00:00","BZN|BE","Without sequence","88.59","",""
"11/01/2024 02:00:00 - 11/01/2024 03:00:00","BZN|BE","Without sequence","87.25","",""
"11/01/2024 03:00:00 - 11/01/2024 04:00:00","BZN|BE","Without sequence","82.38","",""
"11/01/2024 04:00:00 - 11/01/2024 05:00:00","BZN|BE","Without sequence","80.72","",""
"11/01/2024 05:00:00 - 11/01/2024 06:00:00","BZN|BE","Without sequence","85.65","",""
"11/01/2024 06:00:00 - 11/01/2024 07:00:00","BZN|BE","Without sequence","97.88","",""
"11/01/2024 07:00:00 - 11/01/2024 08:00:00","BZN|BE","Without sequence","116.87","",""
"11/01/2024 08:00:00 - 11/01/2024 09:00:00","BZN|BE","Without sequence","141.0","",""
"11/01/2024 09:00:00 - 11/01/2024 10:00:00","BZN|BE","Without sequence","129.16","",""
"11/01/2024 10:00:00 - 11/01/2024 11:00:00","BZN|BE","Without sequence","113.65","",""
"11/01/2024 11:00:00 - 11/01/2024 12:00:00","BZN|BE","Without sequence","106.48","",""
"11/01/2024 12:00:00 - 11/01/2024 13:00:00","BZN|BE","Without sequence","99.38","",""
"11/01/2024 13:00:00 - 11/01/2024 14:00:00","BZN|BE","Without sequence","99.0","",""
"11/01/2024 14:00:00 - 11/01/2024 15:00:00","BZN|BE","Without sequence","105.98","",""
"11/01/2024 15:00:00 - 11/01/2024 16:00:00","BZN|BE","Without sequence","115.38","",""
"11/01/2024 16:00:00 - 11/01/2024 17:00:00","BZN|BE","Without sequence","118.57","",""
"11/01/2024 17:00:00 - 11/01/2024 18:00:00","BZN|BE","Without sequence","136.43","",""
"11/01/2024 18:00:00 - 11/01/2024 19:00:00","BZN|BE","Without sequence","136.7","",""
"11/01/2024 19:00:00 - 11/01/2024 20:00:00","BZN|BE","Without sequence","132.31","",""
"11/01/2024 20:00:00 - 11/01/2024 21:00:00","BZN|BE","Without sequence","117.9","",""
"11/01/2024 21:00:00 - 11/01/2024 22:00:00","BZN|BE","Without sequence","107.19","",""
"11/01/2024 22:00:00 - 11/01/2024 23:00:00","BZN|BE","Without sequence","100.0","",""
"11/01/2024 23:00:00 - 12/01/2024 00:00:00","BZN|BE","Without sequence","91.22","",""
"12/01/2024 00:00:00 - 12/01/2024 01:00:00","BZN|BE","Without sequence","87.92","",""
"12/01/2024 01:00:00 - 12/01/2024 02:00:00","BZN|BE","Without sequence","85.54","",""
"12/01/2024 02:00:00 - 12/01/2024 03:00:00","BZN|BE","Without sequence","84.86","",""
"12/01/2024 03:00:00 - 12/01/2024 04:00:00","BZN|BE","Without sequence","82.07","",""
"12/01/2024 04:00:00 - 12/01/2024 05:00:00","BZN|BE","Without sequence","82.21","",""
"12/01/2024 05:00:00 - 12/01/2024 06:00:00","BZN|BE","Without sequence","83.17","",""
"12/01/2024 06:00:00 - 12/01/2024 07:00:00","BZN|BE","Without sequence","88.96","",""
"12/01/2024 07:00:00 - 12/01/2024 08:00:00","BZN|BE","Without sequence","118.3","",""
"12/01/2024 08:00:00 - 12/01/2024 09:00:00","BZN|BE","Without sequence","140.74","",""
"12/01/2024 09:00:00 - 12/01/2024 10:00:00","BZN|BE","Without sequence","134.96","",""
"12/01/2024 10:00:00 - 12/01/2024 11:00:00","BZN|BE","Without sequence","122.01","",""
