"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"06/01/2024 03:00:00 - 06/01/2024 04:00:00","BZN|IE(SEM)","Without sequence","93.58","",""
"06/01/2024 04:00:00 - 06/01/2024 05:00:00","BZN|IE(SEM)","Without sequence","91.57","",""
"06/01/2024 05:00:00 - 06/01/2024 06:00:00","BZN|IE(SEM)","Without sequence","90.15","",""
"06/01/2024 06:00:00 - 06/01/2024 07:00:00","BZN|IE(SEM)","Without sequence","86.08","",""
"06/01/2024 07:00:00 - 06/01/2024 08:00:00","BZN|IE(SEM)","Without sequence","88.18","",""
"06/01/2024 08:00:00 - 06/01/2024 09:00:00","BZN|IE(SEM)","Without sequence","93.38","",""
"06/01/2024 09:00:00 - 06/01/2024 10:00:00","BZN|IE(SEM)","Without sequence","95.94","",""
"06/01/2024 10:00:00 - 06/01/2024 11:00:00","BZN|IE(SEM)","Without sequence","106.95","",""
"06/01/2024 11:00:00 - 06/01/2024 12:00:00","BZN|IE(SEM)","Without sequence","114.8","",""
"06/01/2024 12:00:00 - 06/01/2024 13:00:00","BZN|IE(SEM)","Without sequence","117.59","",""
"06/01/2024 13:00:00 - 06/01/2024 14:00:00","BZN|IE(SEM)","Without sequence","115.0","",""
"06/01/2024 14:00:00 - 06/01/2024 15:00:00","BZN|IE(SEM)","Without sequence","114.22","",""
"06/01/2024 15:00:00 - 06/01/2024 16:00:00","BZN|IE(SEM)","Without sequence","110.0","",""
"06/01/2024 16:00:00 - 06/01/2024 17:00:00","BZN|IE(SEM)","Without sequence","118.4","",""
"06/01/2024 17:00:00 - 06/01/2024 18:00:00","BZN|IE(SEM)","Without sequence","150.49","",""
"06/01/2024 18:00:00 - 06/01/2024 19:00:00","BZN|IE(SEM)","Without sequence","175.23","",""
"06/01/2024 19:00:00 - 06/01/2024 20:00:00","BZN|IE(SEM)","Without sequence","168.46","",""
